Paises;Anos;X1;X2;X3;X4
HU - Hungria;2021;11,7;12,7;4,9;8,3
HU - Hungria;2023;10,9;14,3;4,6;-14,3
IE - Irlanda;2009;20,2;11,6;4,3;2,6
IE - Irlanda;2011;22,4;9,8;3,6;2
IE - Irlanda;2013;18,8;9,9;3,2;3,9
IE - Irlanda;2015;16,5;8,6;3,1;3,3
IE - Irlanda;2017;12,8;8,7;3,2;0,6
IE - Irlanda;2019;11,4;7,3;3,2;6,7
IE - Irlanda;2021;9,8;8,7;3,6;-14,8
IE - Irlanda;2023;8,6;7,4;3,6;6
IT - Itália;2009;20,7;6,3;3,1;3,6
IT - Itália;2011;22,7;5,5;2,8;2
IT - Itália;2013;26,2;5,4;2,6;4,3
IT - Itália;2015;25,8;4;2,3;4,7
IT - Itália;2017;24,2;5,3;2,1;6,3
IT - Itália;2019;22,3;7,7;4,3;-3,2
IT - Itália;2021;23,1;6,2;4,5;1
IT - Itália;2023;16,1;6,1;4,5;3,2
LV - Letónia;2009;20,8;9,3;4,5;2,3
LV - Letónia;2011;19,1;7,3;4,4;1,3
LV - Letónia;2013;15,6;7,2;4,2;2,9
LV - Letónia;2015;13,8;9,3;4,1;7,2
LV - Letónia;2017;12,3;25,7;3,2;-1,1
LV - Letónia;2019;10,2;18,8;4,4;0,5
LV - Letónia;2021;12,1;17,1;4,7;5,5
LV - Letónia;2023;10;16,3;4,5;9,6
LT - Lituânia;2009;15;14;3,9;10,9
LT - Lituânia;2011;14,7;14,2;3,6;7,1
LT - Lituânia;2013;13,7;10,9;3,4;12,5
LT - Lituânia;2015;11,8;11,3;4,4;-3,7
LT - Lituânia;2017;10,2;9,2;4,8;1,6
LT - Lituânia;2019;10,9;9,3;0;-0,1
LT - Lituânia;2021;12,7;8,2;4,7;2
LT - Lituânia;2023;13,5;7,1;4,9;2,9
LU - Luxemburgo;2009;7,5;7,5;4,8;2
LU - Luxemburgo;2011;6,6;5,1;4,8;6,2
LU - Luxemburgo;2013;7,2;5,3;4,8;2,8
LU - Luxemburgo;2015;7,6;5,6;4,5;5
LU - Luxemburgo;2017;6,6;5,6;4,2;0,9
LU - Luxemburgo;2019;6,5;5,3;3,8;4,4
LU - Luxemburgo;2021;8,8;5;3,5;5,1
LU - Luxemburgo;2023;8,5;5,1;3,3;4,4
